,eng,mani
497,the qualities enumerated in the verse need to be inculcated in all hearts of men as much as of,"ꯋꯥꯍꯩ ꯄꯔꯦꯡ ꯑꯁꯤꯗꯥ ꯄꯅꯈ꯭ꯔꯤꯕꯥ ꯃꯒꯨꯅꯁꯤꯡ ꯑꯁꯤ ꯃꯤꯑꯣꯏꯕꯒꯤ ꯊꯝꯃꯣꯌ ꯄꯨꯝꯅꯃꯛꯇꯥ ꯃꯤꯑꯣꯏꯕꯒꯤ ꯊꯝꯃꯣꯌꯗꯥ ꯌꯥꯑꯣꯍꯅꯕꯥ ꯃꯊꯧ ꯇꯥꯏ, ꯃꯤꯑꯣꯏꯕꯒꯤ ꯊꯝꯃꯣꯌꯗꯥ ꯌꯥꯑꯣꯍꯅꯕꯥ ꯃꯊꯧ ꯇꯥꯏ꯫"
498,the geeta sanjay yogeshwar krishn,ꯒꯤꯇꯥ ꯁꯟꯖꯌ ꯌꯣꯒꯦꯁ꯭ꯕꯔ ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯅꯅꯤ꯫
499,shunning my boon,ꯑꯩꯒꯤ ꯕꯔꯗꯒꯤ ꯂꯥꯞꯅꯥ ꯂꯩꯕꯥ꯫
500,and i am ved among scriptural hymn the gayatri among metrical compositions the ascendant agrahayan among months and the spring among seasons,ꯑꯃꯁꯨꯡ ꯑꯩꯍꯥꯛ ꯁꯥꯁ꯭ꯠꯔꯒꯤ ꯂꯥꯏꯔꯤꯀꯁꯤꯡꯒꯤ ꯃꯔꯛꯇꯥ ꯕꯦꯗꯅꯤ ꯃꯦꯠꯔꯤꯛ ꯀꯝꯄꯣꯖꯤꯁꯅꯁꯤꯡꯒꯤ ꯃꯔꯛꯇꯥ ꯒꯥꯌꯠꯔꯤ ꯊꯥꯁꯤꯡꯒꯤ ꯃꯔꯛꯇꯥ ꯑꯒ꯭ꯔꯍꯥꯌꯟ ꯑꯃꯁꯨꯡ ꯔ꯭ꯏꯇꯨꯒꯤ ꯃꯔꯛꯇꯥ ꯊꯥꯒꯤ ꯈꯣꯡꯆꯠ |
501,among the sacred vedic texts shruti that are fit to be sung lord krishn is the sam ved vrihatsam the song that produces evenness mind,ꯚꯒꯕꯥꯟ ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯅꯕꯨ ꯏꯁꯩ ꯁꯀꯄꯥ ꯌꯥꯕꯥ ꯁꯦꯡꯂꯕꯥ ꯕꯦꯗꯀꯤ ꯂꯥꯏꯔꯤꯀꯁꯤꯡꯒꯤ ꯃꯅꯨꯡꯗꯥ ꯁ꯭ꯔꯨꯇꯤ ꯑꯁꯤ ꯏꯚꯦꯟꯁ ꯃꯥꯏꯟꯗ ꯄꯨꯊꯣꯀꯄꯥ ꯏꯁꯩꯅꯤ |
502,he is the spiritual awakening in these hymns,ꯃꯍꯥꯛ ꯑꯁꯤ ꯂꯥꯏꯁꯣꯂꯁꯤꯡ ꯑꯁꯤꯗꯥ ꯊꯋꯥꯌꯒꯤ ꯑꯣꯏꯕꯥ ꯋꯥꯈꯜ ꯄꯣꯀꯍꯅꯕꯥ ꯑꯗꯨꯅꯤ꯫
503,he too is gayatri among verses,ꯃꯍꯥꯀꯁꯨ ꯁꯩꯔꯦꯡꯁꯤꯡꯒꯤ ꯃꯔꯛꯇꯥ ꯒꯥꯌꯠꯔꯤꯅꯤ꯫
504,the gayatri it is important to realize is a metrical composition of self denying prayer rather than a spell or charm the recitation of which brings automatic salvation,"ꯃꯁꯤ ꯈꯉꯖꯤꯅꯕꯥ ꯃꯔꯨ ꯑꯣꯏꯕꯥ ꯒꯥꯌꯠꯔꯤ ꯑꯁꯤ ꯁ꯭ꯄꯦꯜ ꯅꯠꯔꯒꯥ ꯆꯥꯔꯝ ꯑꯃꯗꯒꯤ ꯍꯦꯟꯅꯥ ꯃꯁꯥꯅꯥ ꯌꯥꯖꯕꯥ ꯄ꯭ꯔꯥꯔꯊꯅꯥꯒꯤ ꯃꯦꯠꯔꯤꯛ ꯀꯝꯄꯣꯖꯤꯁꯟ ꯑꯃꯅꯤ, ꯃꯁꯤꯒꯤ ꯄꯥꯕꯥ ꯑꯁꯤꯅꯥ ꯑꯣꯇꯣꯃꯦꯇꯤꯛ ꯑꯣꯏꯕꯥ ꯑꯔꯥꯟ ꯈꯨꯕꯝ ꯄꯨꯔꯀꯏ꯫"
505,after straying thrice throwing himself at the mercy of the desired god the sage vishwamitr addressed him as the essence that permeates the earth all the worlds and the self and entreated him to confer wisdom on him to inspire him so that he could know his reality,ꯑꯄꯥꯝꯕꯥ ꯏꯁ꯭ꯕꯔꯒꯤ ꯊꯧꯖꯥꯂꯗꯥ ꯃꯁꯥꯕꯨ ꯊꯥꯗꯣꯛꯇꯨꯅꯥ ꯑꯍꯨꯃꯂꯛ ꯂꯥꯄꯊꯣꯛꯂꯕꯥ ꯃꯇꯨꯡꯗꯥ ꯔ꯭ꯏꯁꯤ ꯕꯤꯁ꯭ꯕꯥꯃꯤꯠꯔꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯄ꯭ꯔ꯭ꯏꯊꯤꯕꯤꯗꯥ ꯃꯥꯂꯦꯝ ꯄꯨꯝꯕꯗꯥ ꯑꯃꯁꯨꯡ ꯃꯁꯥꯒꯤ ꯑꯣꯏꯖꯕꯥ ꯊꯤꯗꯅꯥ ꯂꯩꯔꯤꯕꯥ ꯃꯁꯛ ꯑꯗꯨꯅꯤ ꯍꯥꯌꯅꯥ ꯀꯧꯈꯤ ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯀꯤ ꯇꯁꯦꯡꯕꯥ ꯑꯗꯨ ꯈꯉꯕꯥ ꯉꯝꯅꯕꯥ ꯃꯍꯥꯀꯄꯨ ꯏꯊꯤꯜ ꯄꯤꯅꯕꯥ ꯂꯧꯁꯤꯡ ꯄꯤꯅꯕꯥ ꯃꯍꯥꯀꯄꯨ ꯊꯧꯅꯤꯖꯈꯤ |
506,so as it may be seen gayatri is a prayer,ꯑꯗꯨꯅꯥ ꯎꯕꯥ ꯐꯪꯂꯤꯕꯥ ꯃꯇꯨꯡ ꯏꯟꯅꯥ ꯒꯥꯌꯠꯔꯤ ꯑꯁꯤ ꯄ꯭ꯔꯥꯔꯊꯅꯥ ꯑꯃꯅꯤ꯫
507,the worshiper is not able to resolve his doubts by his own intelligence he does not know when he is right or in error,ꯂꯥꯏ ꯈꯨꯔꯨꯝꯕꯥ ꯃꯤ ꯑꯗꯨꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯑꯀꯤꯕꯥ ꯑꯗꯨ ꯃꯍꯥꯛꯅꯥ ꯀꯗꯥꯏꯗꯥ ꯑꯆꯨꯝꯕꯥ ꯅꯠꯔꯒꯥ ꯑꯔꯥꯅꯕꯥ ꯇꯧꯕꯒꯦ ꯍꯥꯌꯕꯥ ꯈꯉꯗꯕꯥ ꯃꯁꯥꯒꯤ ꯂꯧꯁꯤꯡꯅꯥ ꯂꯣꯏꯁꯤꯅꯕꯥ ꯉꯃꯗꯦ꯫
508,so krishn is the gayatri by which the hapless worshiper surrenders himself to god,ꯑꯗꯨꯅꯥ ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯟ ꯑꯁꯤ ꯂꯥꯏꯕꯛ ꯐꯕꯥ ꯈꯨꯔꯨꯃꯖꯔꯤꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯃꯁꯥꯕꯨ ꯏꯁ꯭ꯕꯔꯗꯥ ꯀꯠꯊꯣꯀꯆꯕꯥ ꯒꯥꯌꯠꯔꯤꯅꯤ꯫
509,this prayer is doubtlessly propitious for by this the devotee seeks refuge in krishn,ꯃꯁꯤꯒꯤ ꯄ꯭ꯔꯥꯔꯊꯅꯥ ꯑꯁꯤ ꯆꯤꯡꯅꯕꯥ ꯂꯩꯇꯅꯥ ꯌꯥꯏ ꯃꯔꯃꯗꯤ ꯃꯁꯤꯅꯥ ꯚꯛꯇ ꯑꯗꯨꯅꯥ ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯅꯗꯥ ꯉꯥꯀꯄꯤꯕꯥ ꯉꯝꯃꯤ |
510,lord krishn is also agrahayan among months the ascendant season of joy,ꯚꯒꯕꯥꯟ ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯅꯁꯨ ꯊꯥ ꯀꯌꯥꯒꯤ ꯃꯔꯛꯇꯥ ꯑꯒ꯭ꯔꯍꯥꯌꯅꯅꯤ ꯍꯔꯥꯑꯣꯕꯒꯤ ꯑꯋꯥꯡꯕꯥ ꯊꯥꯒꯤ ꯃꯇꯝ꯫
511,he is the state of felicity that this month resembles,ꯃꯍꯥꯛ ꯑꯁꯤ ꯊꯥ ꯑꯁꯤꯒꯥ ꯃꯥꯟꯅꯕꯥ ꯐꯦꯂꯤꯁꯤꯇꯤꯒꯤ ꯐꯤꯚꯝꯅꯤ꯫
512,i am the deceit of cheating gamblers the glory of renowned men the victory of conquerors the determination of the resolved and the virtue of the pious,ꯑꯩꯗꯤ ꯁꯦꯜ ꯊꯥꯗꯕꯥ ꯖꯨꯋꯥꯔꯤꯁꯤꯡꯒꯤ ꯁꯦꯃꯖꯤꯟ ꯁꯥꯖꯤꯅꯕꯅꯤ ꯃꯃꯤꯡ ꯂꯩꯔꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯃꯁꯛ ꯅꯥꯏꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯃꯥꯏꯄꯥꯀꯄꯥ ꯑꯁꯤ ꯋꯥꯔꯦꯞ ꯂꯧꯔꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯋꯥꯔꯦꯞ ꯑꯃꯁꯨꯡ ꯄꯨꯀꯆꯦꯜ ꯁꯦꯡꯕꯁꯤꯡꯒꯤ ꯒꯨꯟꯅꯤ꯫
513,the idea of gambling in the verse refers to the fundamental character of nature,ꯋꯥꯍꯩ ꯄꯔꯦꯡ ꯑꯁꯤꯗꯥ ꯖꯨꯋꯥꯔꯤꯒꯤ ꯋꯥꯈꯜꯂꯣꯟ ꯑꯁꯤꯅꯥ ꯃꯍꯧꯁꯥꯒꯤ ꯐꯟꯗꯥꯃꯦꯟꯇꯦꯜ ꯃꯑꯣꯡ ꯃꯇꯧ ꯑꯗꯨꯕꯨ ꯈꯉꯍꯜꯂꯤ꯫
514,nature itself is a gambler and cheat,ꯃꯍꯧꯁꯥ ꯃꯁꯥꯃꯛ ꯖꯨꯋꯥꯔꯤ ꯑꯃꯁꯨꯡ ꯁꯦꯜ ꯊꯥꯗꯕꯥ ꯃꯤꯁꯛ ꯑꯃꯅꯤ꯫
515,to forsake outward show and engage in the way of private adoration to escape from the contradictions of nature is an act of deception,ꯃꯄꯥꯟꯊꯣꯡꯒꯤ ꯑꯣꯏꯕꯥ ꯎꯠꯄꯥ ꯊꯥꯗꯣꯀꯄꯥ ꯑꯃꯁꯨꯡ ꯃꯍꯧꯁꯥꯒꯤ ꯑꯔꯥꯅꯕꯥ ꯋꯥꯈꯜꯂꯣꯅꯁꯤꯡꯗꯒꯤ ꯂꯥꯄꯊꯣꯛꯅꯕꯥ ꯂꯅꯥꯏꯒꯤ ꯑꯣꯏꯕꯥ ꯅꯨꯡꯁꯤꯕꯒꯤ ꯃꯑꯣꯡꯗꯥ ꯌꯥꯑꯣꯕꯥ ꯑꯁꯤ ꯂꯥꯟꯅꯥ ꯂꯃꯖꯤꯡꯕꯒꯤ ꯊꯕꯛ ꯑꯃꯅꯤ꯫
516,but to call it deception is hardly appropriate for such secretiveness is essential to the worshipers security,ꯑꯗꯨꯕꯨ ꯃꯁꯤꯕꯨ ꯂꯥꯟꯅꯥ ꯂꯃꯖꯤꯡꯕꯤꯕꯥ ꯍꯥꯌꯕꯁꯤꯗꯤ ꯑꯁꯤꯒꯨꯝꯕꯥ ꯒꯣꯄꯟ ꯑꯣꯏꯕꯥ ꯋꯥꯐꯝ ꯑꯁꯤꯒꯤꯗꯃꯛ ꯌꯥꯝꯅꯥ ꯆꯨꯃꯗꯦ ꯍꯥꯌꯕꯁꯤ ꯂꯥꯏ ꯈꯨꯔꯨꯝꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯁꯦꯛꯌꯨꯔꯤꯇꯤꯒꯤꯗꯃꯛ ꯌꯥꯝꯅꯥ ꯃꯔꯨ ꯑꯣꯏ꯫
517,it is required that the worshiper although in possession of a heart that is lit up with knowledge appear outwardly ignorant like a benumbed bharat like one who is insane blind deaf and dumb,ꯖ꯭ꯅꯥꯅꯅꯥ ꯊꯜꯂꯕꯥ ꯊꯝꯃꯣꯌ ꯑꯃꯥ ꯂꯩꯔꯕꯁꯨ ꯃꯄꯥꯟꯊꯣꯡꯒꯤ ꯑꯣꯏꯅꯥ ꯋꯥꯈꯜ ꯂꯧꯁꯤꯡ ꯂꯩꯇꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯃꯒꯨꯝ ꯋꯥꯈꯜ ꯋꯥꯕꯥ ꯚꯥꯔꯠ ꯑꯃꯒꯨꯝ ꯃꯔꯥꯜ ꯂꯩꯔꯕꯥ ꯃꯃꯤꯠ ꯇꯥꯡꯕꯥ ꯑꯁꯣꯅꯕꯥ ꯑꯃꯁꯨꯡ ꯃꯃꯤꯠ ꯇꯥꯡꯕꯥ ꯃꯤꯁꯛ ꯑꯃꯥ ꯑꯣꯏꯅꯥ ꯎꯕꯥ ꯃꯊꯧ ꯇꯥꯏ꯫
518,although he sees he should show as if he knows nothing although he hears it should appear that he has heard nothing,ꯃꯍꯥꯛꯅꯥ ꯎꯔꯕꯁꯨ ꯃꯍꯥꯛꯅꯥ ꯀꯔꯤꯒꯨꯝꯕꯥ ꯑꯃꯠꯇꯥ ꯈꯉꯗꯕꯒꯨꯝ ꯎꯠꯀꯗꯕꯅꯤ ꯑꯗꯨꯕꯨ ꯃꯍꯥꯛꯅꯥ ꯀꯔꯤꯒꯨꯝꯕꯥ ꯑꯃꯠꯇꯥ ꯇꯥꯈꯤꯗꯕꯥ ꯑꯣꯏꯅꯥ ꯎꯕꯥ ꯐꯪꯒꯗꯕꯅꯤ꯫
519,the canon of worship is that it should be private and secret,ꯂꯥꯏ ꯈꯨꯔꯨꯝꯕꯒꯤ ꯆꯠꯅꯕꯤ ꯑꯁꯤ ꯂꯅꯥꯏꯒꯤ ꯑꯣꯏꯕꯥ ꯑꯃꯁꯨꯡ ꯒꯣꯄꯟ ꯑꯣꯏꯕꯥ ꯑꯣꯏꯒꯗꯕꯅꯤ꯫
520,only then can he win in the gamble of nature,ꯃꯗꯨ ꯈꯛꯇꯗꯥ ꯃꯍꯥꯛꯅꯥ ꯃꯍꯧꯁꯥꯒꯤ ꯖꯨꯋꯥꯔꯤꯗꯥ ꯃꯥꯏꯄꯥꯀꯄꯥ ꯉꯃꯒꯅꯤ꯫
521,lord krishn is the victory of winners and the resolution of men of enterprise,ꯚꯒꯕꯥꯟ ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯟ ꯑꯁꯤ ꯃꯥꯏꯄꯥꯀꯄꯁꯤꯡꯒꯤ ꯃꯥꯏꯄꯥꯀꯄꯥ ꯑꯃꯁꯨꯡ ꯏꯟꯇꯔꯞꯔꯥꯏꯖ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯋꯥꯔꯦꯞꯅꯤ꯫
522,this was also said in the forty first verse of chapter 2 the determination required for yog its wisdom,ꯃꯁꯤ ꯑꯙ꯭ꯌꯥꯌ ꯲ꯒꯤ ꯑꯍꯥꯅꯕꯥ ꯋꯥꯍꯩ ꯄꯔꯦꯡꯗꯁꯨ ꯍꯥꯌꯈꯤ ꯌꯣꯒꯒꯤꯗꯃꯛꯇꯥ ꯃꯊꯧ ꯇꯥꯕꯥ ꯋꯥꯔꯦꯞ ꯑꯗꯨ ꯃꯁꯤꯒꯤ ꯂꯧꯁꯤꯡꯅꯤ꯫
523,and also the magnificence and enlightenment of virtuous men,ꯑꯃꯁꯨꯡ ꯒꯨꯟ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯃꯁꯛ ꯅꯥꯏꯕꯥ ꯑꯃꯁꯨꯡ ꯃꯉꯥꯜ ꯄꯤꯕꯥ ꯑꯗꯨꯁꯨ ꯌꯥꯑꯣꯔꯤ꯫
524,i am vasudev among the descendants of vrishni dhananjay among the pandav vedvyas among sages and shukracharya among poets,ꯔ꯭ꯏꯁꯤꯁꯤꯡꯒꯤ ꯃꯔꯛꯇꯥ ꯄꯥꯟꯗꯕ ꯕꯦꯗꯕ꯭ꯌꯁꯤꯡꯒꯤ ꯃꯔꯛꯇꯥ ꯕ꯭ꯔ꯭ꯏꯁ꯭ꯅꯤ ꯙꯅꯟꯖꯌꯒꯤ ꯇꯨꯡꯏꯅꯕꯁꯤꯡꯒꯤ ꯃꯔꯛꯇꯥ ꯑꯩ ꯕꯥꯁꯨꯗꯦꯕꯅꯤ ꯑꯃꯁꯨꯡ ꯀꯕꯤꯁꯤꯡꯒꯤ ꯃꯔꯛꯇꯥ ꯁꯨꯛꯔꯥꯆꯥꯔꯌꯅꯤ꯫
525,krishn is vasudev or the one who is everywhere among vrishni race,ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯟ ꯑꯁꯤ ꯕꯥꯁꯨꯗꯦꯕꯅꯤ ꯅꯠꯔꯒꯥ ꯕ꯭ꯔ꯭ꯏꯁ꯭ꯅꯤ ꯖꯥꯇꯤꯒꯤ ꯃꯔꯛꯇꯥ ꯃꯐꯝ ꯈꯨꯗꯤꯡꯗꯥ ꯂꯩꯔꯤꯕꯥ ꯑꯗꯨꯅꯤ꯫
526,he is dhananjay among the pandav,ꯃꯍꯥꯛ ꯄꯥꯟꯗꯕꯁꯤꯡꯒꯤ ꯃꯔꯛꯇꯥ ꯙꯅꯟꯖꯌꯅꯤ꯫
527,pandu father of the pandav is a symbol of piety he is the one in whom virtue is awakened,ꯄꯥꯟꯗꯕꯀꯤ ꯃꯄꯥ ꯄꯥꯟꯗꯨ ꯑꯁꯤ ꯏꯁ꯭ꯕꯔꯒꯤ ꯊꯧꯖꯥꯂꯒꯤ ꯃꯁꯛ ꯑꯃꯅꯤ ꯃꯍꯥꯛ ꯑꯁꯤ ꯃꯍꯥꯛꯀꯤ ꯃꯅꯨꯡꯗꯥ ꯒꯨꯟ ꯋꯥꯈꯜ ꯄꯣꯀꯍꯜꯂꯤ꯫
528,realization of the self is the only real and lasting wealth,ꯁꯦꯜꯐꯀꯤ ꯔꯤꯑꯦꯂꯥꯏꯖꯦꯁꯟ ꯑꯁꯤ ꯑꯃꯠꯇꯥ ꯉꯥꯏꯔꯕꯥ ꯇꯁꯦꯡꯕꯥ ꯑꯃꯁꯨꯡ ꯂꯦꯡꯗꯕꯥ ꯂꯟ-ꯊꯨꯃꯅꯤ꯫
529,lord krishn dhananjay the one who earns and stores the treasure of self knowledge,ꯚꯒꯕꯥꯟ ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯟ ꯙꯅꯟꯖꯌ ꯃꯁꯥꯅꯥ ꯖ꯭ꯅꯥꯅꯒꯤ ꯂꯟ-ꯊꯨꯝ ꯂꯧꯕꯥ ꯑꯃꯁꯨꯡ ꯊꯃꯖꯤꯜꯂꯤꯕꯥ |
530,he is vyas among sages,ꯃꯍꯥꯛ ꯔ꯭ꯏꯁꯤꯁꯤꯡꯒꯤ ꯃꯔꯛꯇꯥ ꯕ꯭ꯌꯥꯁꯅꯤ꯫
531,he is the sage who has the ability to express the idea of perfection,ꯃꯍꯥꯛ ꯑꯁꯤ ꯃꯄꯨꯡ ꯐꯥꯕꯒꯤ ꯋꯥꯈꯜꯂꯣꯟ ꯑꯗꯨ ꯐꯣꯡꯗꯣꯀꯄꯒꯤ ꯊꯧꯅꯥ ꯂꯩꯕꯥ ꯔ꯭ꯏꯁꯤꯅꯤ꯫
532,among poets he is ushna shukr who has in the ved the epithet kavya attributed to him and who also has the wisdom to lead the soul to god,"ꯀꯕꯤꯁꯤꯡꯒꯤ ꯃꯅꯨꯡꯗꯥ ꯃꯍꯥꯛ ꯎꯁ꯭ꯅꯥ ꯁꯨꯛꯔꯅꯤ, ꯃꯍꯥꯛꯅꯥ ꯕꯦꯗꯇꯥ ꯃꯍꯥꯀꯄꯨ ꯀꯕꯌ ꯍꯥꯌꯅꯥ ꯀꯧꯕꯥ ꯑꯦꯄꯤꯊꯦꯠ ꯑꯃꯥ ꯊꯝꯂꯤ ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯀꯤ ꯊꯋꯥꯏꯕꯨ ꯏꯁ꯭ꯕꯔꯒꯤ ꯃꯅꯥꯛꯇꯥ ꯄꯨꯔꯀꯄꯒꯤ ꯂꯧꯁꯤꯡꯁꯨ ꯂꯩ꯫"
533,and i am the oppression of tyrants the wise conduct of those who aspire to succeed silence among secrets and also the knowledge of enlightened men,"ꯑꯃꯁꯨꯡ ꯑꯩꯗꯤ ꯑꯁꯣꯅꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯂꯥꯟꯅꯥ ꯂꯃꯖꯤꯡꯕꯤꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯂꯧꯁꯤꯡ ꯂꯩꯕꯥ ꯂꯃꯆꯠ-ꯁꯥꯖꯠꯅꯤ, ꯊꯣꯏꯗꯣꯀꯄꯥ ꯋꯥꯐꯃꯁꯤꯡꯒꯤ ꯃꯔꯛꯇꯥ ꯆꯨꯃꯗ꯭ꯔꯤꯡꯅꯥ ꯆꯠꯄꯥ ꯑꯃꯁꯨꯡ ꯃꯉꯥꯜ ꯂꯩꯔꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯂꯧꯁꯤꯡꯁꯨ꯫"
534,krishn is all these,ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯟ ꯑꯁꯤ ꯄꯨꯝꯅꯃꯛ ꯑꯁꯤꯅꯤ꯫
535,and o arjun i am also the seed from which all beings have sprung up because there is nothing animate or inanimate which is without my maya,ꯑꯃꯁꯨꯡ ꯍꯦ ꯑꯔꯖꯨꯟ ꯑꯩꯍꯥꯀꯁꯨ ꯖꯤꯕ ꯄꯨꯝꯅꯃꯛ ꯄꯣꯀꯈꯤꯕꯥ ꯕꯤꯖꯅꯤ ꯃꯔꯃꯗꯤ ꯑꯩꯒꯤ ꯃꯥꯌꯥ ꯌꯥꯑꯣꯗꯅꯥ ꯍꯤꯡꯕꯥ ꯅꯠꯔꯒꯥ ꯍꯤꯡꯗꯕꯥ ꯀꯔꯤꯒꯨꯝꯕꯥ ꯑꯃꯠꯇꯥ ꯂꯩꯇꯦ |
536,there is nothing no being in the whole world devoid of lord krishn because he pervades all,ꯚꯒꯕꯥꯟ ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯅꯗꯒꯤ ꯂꯥꯄꯊꯣꯛꯅꯥ ꯂꯩꯕꯥ ꯃꯥꯂꯦꯝ ꯄꯨꯝꯕꯗꯥ ꯖꯤꯕ ꯑꯃꯠꯇꯥ ꯂꯩꯇꯦ ꯃꯔꯃꯗꯤ ꯃꯍꯥꯛꯅꯥ ꯄꯨꯝꯅꯃꯀꯄꯨ ꯁꯣꯀꯍꯜꯂꯤ꯫
537,all beings resemble him and are close to him,ꯖꯤꯕ ꯄꯨꯝꯅꯃꯛ ꯃꯍꯥꯛꯀꯥ ꯃꯥꯟꯅꯩ ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯀꯥ ꯅꯛꯅꯩ꯫
538,he further adds,ꯃꯍꯥꯛꯅꯥ ꯃꯈꯥ ꯇꯥꯅꯥ ꯃꯈꯥ ꯇꯥꯅꯥ ꯍꯥꯌꯔꯤ꯫
539,what i have told you o parantap is only a brief abstract of my countless glories,ꯑꯩꯅꯥ ꯅꯉꯣꯟꯗꯥ ꯍꯥꯌꯈꯤꯕꯥ ꯑꯗꯨ ꯑꯣ ꯄꯔꯅꯇꯞ ꯑꯁꯤ ꯑꯩꯒꯤ ꯃꯁꯤꯡ ꯊꯤꯉꯃꯗ꯭ꯔꯕꯥ ꯃꯁꯛ ꯅꯥꯏꯕꯥ ꯃꯁꯛ ꯈꯛꯇꯅꯤ꯫
540,so arjun should regard whatever is with magnificence radiance and might as having come forth from krishn,ꯑꯗꯨꯅꯥ ꯑꯔꯖꯨꯅꯅꯥ ꯃꯁꯛ ꯊꯣꯀꯄꯥ ꯃꯉꯥꯜ ꯑꯃꯁꯨꯡ ꯄꯥꯉ꯭ꯒꯂꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯂꯩꯔꯤꯕꯥ ꯑꯗꯨꯕꯨ ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯅꯗꯒꯤ ꯂꯥꯀꯈꯤꯕꯅꯤ ꯍꯥꯌꯅꯥ ꯂꯧꯒꯗꯕꯅꯤ |
541,this is what he is told now,ꯃꯁꯤ ꯍꯧꯖꯤꯛ ꯃꯍꯥꯀꯄꯨ ꯍꯥꯌꯔꯤꯕꯁꯤꯅꯤ꯫
542,only arjun wants to,ꯑꯔꯖꯨꯟ ꯈꯛꯇꯅꯥ ꯄꯥꯝꯃꯤ꯫
543,be understood by direct perception,ꯗꯥꯏꯔꯦꯛꯇ ꯄꯔꯁꯦꯄꯁꯅꯅꯥ ꯂꯧꯁꯤꯅꯕꯥ ꯌꯥꯏ꯫
544,know that whatever is possessed of glory beauty and strength has arisen from my own splendour,ꯃꯁꯛ ꯊꯣꯀꯄꯥ ꯐꯖꯕꯥ ꯑꯃꯁꯨꯡ ꯄꯥꯉ꯭ꯒꯜ ꯂꯩꯕꯥ ꯄꯣꯠꯁꯛ ꯈꯨꯗꯤꯡꯃꯛ ꯑꯩꯒꯤ ꯏꯁꯥꯒꯤ ꯊꯧꯅꯥꯗꯒꯤ ꯊꯣꯔꯀꯈꯤꯕꯅꯤ ꯍꯥꯌꯕꯥ ꯈꯉꯕꯤꯌꯨ꯫
545,krishn concludes his revelation of the omnipresent thus,ꯀ꯭ꯔ꯭ꯏꯁ꯭ꯅꯅꯥ ꯃꯐꯝ ꯈꯨꯗꯤꯡꯗꯥ ꯂꯩꯔꯤꯕꯥ ꯑꯁꯤꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯃꯍꯥꯛꯀꯤ ꯐꯣꯡꯗꯣꯀꯄꯥ ꯑꯗꯨ ꯑꯁꯨꯝꯅꯥ ꯂꯣꯏꯁꯤꯜꯂꯤ |
546,or instead of knowing anything more o arjun just remember that i am here and i bear the whole world with just a fraction of my power,ꯅꯠꯔꯒꯥ ꯍꯦꯟꯅꯥ ꯈꯉꯕꯒꯤ ꯃꯍꯨꯠꯇꯥ ꯑꯣ ꯑꯔꯖꯨꯟ ꯑꯩꯍꯥꯛ ꯃꯐꯝ ꯑꯁꯤꯗꯥ ꯂꯩꯔꯤ ꯍꯥꯌꯕꯥ ꯈꯛꯇꯃꯛ ꯅꯤꯡꯁꯤꯡꯕꯤꯌꯨ ꯑꯃꯁꯨꯡ ꯑꯩꯍꯥꯛꯅꯥ ꯃꯥꯂꯦꯝ ꯄꯨꯝꯕꯕꯨ ꯑꯩꯍꯥꯛꯀꯤ ꯁꯛꯇꯤꯒꯤ ꯁꯔꯨꯛ ꯈꯔꯈꯛꯇꯅꯥ ꯂꯧꯁꯤꯜꯂꯤ꯫
